zip,post_district,comment,region,town,lat,lng
1166,Perroy,,VD,Perroy,46.4696583,6.3625624
1167,Lussy-sur-Morges,,VD,Lussy-sur-Morges,46.5039593,6.4501996
1168,Villars-sous-Yens,,VD,Villars-sous-Yens,46.5101868,6.4287151
1169,Yens,,VD,Yens,46.5196158,6.4179173
1170,Aubonne,,VD,Aubonne,46.4953291,6.3918325
1170,La Vaux,,VD,Aubonne,46.4871715,6.4010246
1172,Bougy-Villars,,VD,Bougy-Villars,46.47839,6.35303
1172,Signal-de-Bougy,,VD,Bougy-Villars,46.484909,6.356254
1173,Féchy,,VD,Féchy,46.47957,6.372875
1174,La Fouly VD,,VD,Montherod,46.5019713,6.3350575
1174,Montherod,,VD,Montherod,46.4985692,6.36594
1174,Pizy,,VD,Pizy,46.4911836,6.3532358
1175,Lavigny,,VD,Lavigny,46.5012496,6.4044008
1176,St-Livres,,VD,St-Livres,46.5076838,6.3875649
1180,Bugnaux,,VD,Rolle,46.4733,6.31882
1180,Rolle,,VD,Rolle,46.4594462,6.3291453
1180,Tartegnin,,VD,Tartegnin,46.466421,6.3166357
1182,Gilly,,VD,Gilly,46.4576159,6.2983682
1182,Vincy,,VD,Gilly,46.4628166,6.3014644
1183,Bursins,,VD,Bursins,46.45207,6.2879174
1184,Luins,,VD,Luins,46.4428841,6.2736075
1184,Vinzel,,VD,Vinzel,46.4474998,6.2794339
1185,Mont-sur-Rolle,,VD,Mont-sur-Rolle,46.4693048,6.3405436
1186,Essertines-sur-Rolle,,VD,Essertines-sur-Rolle,46.492086,6.3173032
1187,St-Oyens,,VD,St-Oyens,46.498721,6.3082679
1188,Gimel,,VD,Gimel,46.5089236,6.3070078
1188,St-George,,VD,St-George,46.514293,6.2604696
1189,Saubraz,,VD,Saubraz,46.5143439,6.3304638
1195,Bursinel,,VD,Bursinel,46.4365383,6.3070975
1195,Dully,,VD,Dully,46.4365383,6.3070975
1195,Dully-Bursinel,PO box only,VD,Dully-Bursinel,46.4365383,6.3070975
1196,Gland,,VD,Gland,46.4167843,6.2716677
1197,Prangins,,VD,Prangins,46.3983407,6.2563283
1200,Genève,,GE,Genève,46.211672,6.134562
1201,Genève Secteur de dist.,,GE,Genève,46.2095516,6.1450463
1202,Genève,,GE,Genève,46.2218641,6.1393057
1203,Genève,,GE,Genève,46.2059929,6.1219092
1204,Genève,,GE,Genève,46.2035452,6.1451503
1205,Genève,,GE,Genève,46.1902742,6.1464841
1206,Genève,,GE,Genève,46.1896788,6.1575397
1207,Genève,,GE,Genève,46.2050242,6.1622535
1208,Genève,,GE,Genève,46.1976084,6.1662456
1209,Genève,,GE,Genève,46.2214936,6.1238396
1211,Genève 1 Mont-Blanc Cases,PO box only,GE,Genève 1,46.2073038,6.1477697
1211,Genève 10 Nations Unies,PO box only,GE,Genève 10,46.229999,6.128719
1211,Genève 11 Rue du Stand Cases,PO box only,GE,Genève 11,46.229999,6.128719
1211,Genève 12 Champel Cases,PO box only,GE,Genève 12,46.229999,6.128719
1211,Genève 13 Les Charmilles Cases,PO box only,GE,Genève 13,46.229999,6.128719
1211,Genève 14 Hôpital Canton. Universitaire,,GE,Genève 14,46.229999,6.128719
1211,Genève 17 Malagnou Cases,PO box only,GE,Genève 17,46.229999,6.128719
1211,Genève 19 Petit-Saconnex Cases,PO box only,GE,Genève 19,46.191076,6.1441234
1211,Genève 2 Cornavin Dépôt Cases,PO box only,GE,Genève 2,46.201346,6.148256
1211,Genève 20 CIC Cases,PO box only,GE,Genève 20,46.229999,6.128719
1211,Genève 21 Les Pâquis Cases,PO box only,GE,Genève 21,46.229999,6.128719
1211,Genève 22 BIT,PO box only,GE,Genève 22,46.229999,6.128719
1211,Genève 23 CERN,PO box only,GE,Genève 23,46.229999,6.128719
1211,Genève 26 La Praille Cases,PO box only,GE,Genève 26,46.229999,6.128719
1211,Genève 27 OMS,PO box only,GE,Genève 27,46.229999,6.128719
1211,Genève 28 Balexert Cases,PO box only,GE,Genève 28,46.229999,6.128719
1211,Genève 3 Rive Cases,PO box only,GE,Genève 3,46.229999,6.128719
1211,Genève 4 Plainpalais Cases,PO box only,GE,Genève 4,46.2000323,6.1638785
1211,Genève 5 Office d'échange,PO box only,GE,Genève 5,46.2000323,6.1638785
1211,Genève 6 Les Eaux-Vives Cases,PO box only,GE,Genève 6,46.2030137,6.1573693
1211,Genève 7 Servette Cases,PO box only,GE,Genève 7,46.2091832,6.1390686
1211,Genève 70,,GE,Genève 70,46.229999,6.128719
1211,Genève 71 CS centre de production,,GE,Genève 71 CS CP,46.2000323,6.1638785
1211,Genève 73,,GE,Genève 73,46.229999,6.128719
1211,Genève 8 Jonction Cases,PO box only,GE,Genève 8,46.2011306,6.1281439
1211,Genève 84 Votations,,GE,Genève 84 Votations,46.2000323,6.1638785
1212,Arare,,GE,Grand-Lancy,46.1617643,6.1105463
1212,Grand-Lancy,,GE,Grand-Lancy,46.1781048,6.1233726
1212,Grand-Lancy 1,PO box only,GE,Grand-Lancy 1,46.1870115,6.1238976
1212,Lancy,,GE,Grand-Lancy,46.1772299,6.1213228
1212,Saconnex-d'Arve,,GE,Grand-Lancy,46.1627637,6.1284297
1213,Lancy,,GE,Petit-Lancy,46.1945732,6.1110751
1213,Onex,,GE,Onex,46.183541,6.1002345
1213,Petit-Lancy,,GE,Petit-Lancy,46.1923106,6.1155847
1213,Petit-Lancy 1,PO box only,GE,Petit-Lancy 1,46.1901112,6.1182661
1214,Vernier,,GE,Vernier,46.2153264,6.0819838
1215,Genève 15 Aéroport,,GE,Genève 15 Aéroport,46.2372458,6.1158639
1216,Cointrin,,GE,Cointrin,46.2265356,6.1040385
1217,Mategnin,,GE,Meyrin,46.2415761,6.0858228
1217,Meyrin,,GE,Meyrin,46.2349075,6.0749791
1217,Meyrin 1,PO box only,GE,Meyrin 1,46.232133,6.082336
1217,Meyrin 2 Village,PO box only,GE,Meyrin 2,46.228225,6.072414
1218,Le Grand-Saconnex,,GE,Le Grand-Saconnex,46.234773,6.122495
1218,Saconnex,,GE,Le Grand-Saconnex,46.234773,6.122495
1219,Aïre,,GE,Aïre,46.2071753,6.0998024
1219,Châtelaine,,GE,Châtelaine,46.2071753,6.0998024
1219,Le Lignon,,GE,Le Lignon,46.2071753,6.0998024
1220,Les Avanchets,,GE,Les Avanchets,46.2204903,6.1089423
1222,Bellerive GE,,GE,Vésenaz,46.2445366,6.2086388
1222,La Capite,,GE,Vésenaz,46.23475,6.20388
1222,La Pallanterie,,GE,Vésenaz,46.2492381,6.2215834
1222,St-Maurice,,GE,Vésenaz,46.254,6.22235
1222,Vésenaz,,GE,Vésenaz,46.23936,6.19754
1223,Cologny,,GE,Cologny,46.2122077,6.1848004
1224,Chêne-Bougeries,,GE,Chêne-Bougeries,46.1976731,6.1872455
1225,Chêne-Bourg,,GE,Chêne-Bourg,46.19735,6.19731
1225,Fossard,,GE,Chêne-Bourg,46.6185424,7.1386094
1225,Moillesulaz,,GE,Chêne-Bourg,46.19735,6.19731
1225,Villette GE,,GE,Chêne-Bourg,46.1837441,6.1850573
1226,Thônex,,GE,Thônex,46.1928374,6.202767
1227,Carouge GE,,GE,Carouge GE,46.1829674,6.1378539
1227,La Praille,,GE,Carouge GE,46.187006,6.1336801
1227,Les Acacias,,GE,Les Acacias,46.1861243,6.1344098
1228,Plan-les-Ouates,,GE,Plan-les-Ouates,46.1655214,6.116018
1231,Conches,,GE,Conches,46.186351,6.1755179
1232,Confignon,,GE,Confignon,46.1740305,6.0835592
1233,Bernex,,GE,Bernex,46.1771419,6.0764849
1233,Chèvres,,GE,Bernex,46.1771419,6.0764849
1233,Loëx,,GE,Bernex,46.1771419,6.0764849
